X1	X2	Y
-0.355	0.676	neg
0.464	0.681	neg
0.001	0.294	pos
0.427	0.592	neg
-0.391	0.823	neg
-0.425	0.305	neg
0.467	0.948	neg
0.295	0.266	neg
-0.392	0.336	neg
-0.405	0.098	neg
0.400	0.791	neg
-0.202	0.075	neg
0.080	0.136	pos
0.422	0.986	neg
-0.330	0.645	neg
-0.280	0.821	pos
-0.393	0.587	neg
0.492	0.563	neg
-0.227	0.658	pos
0.102	0.296	pos
0.296	0.045	neg
0.229	0.294	neg
0.194	0.718	pos
0.182	0.716	pos
0.478	0.713	neg
0.186	0.233	neg
0.427	0.310	neg
0.424	0.367	neg
0.480	0.302	neg
-0.057	0.586	pos
-0.285	0.285	neg
-0.184	0.008	neg
-0.350	0.999	neg
-0.038	0.635	pos
0.462	0.113	neg
0.430	0.583	neg
0.009	0.412	pos
-0.290	0.608	neg
-0.066	0.889	pos
-0.008	0.344	pos
-0.272	0.837	pos
-0.252	0.019	neg
0.136	0.411	pos
0.440	0.768	neg
-0.050	0.174	pos
0.037	0.339	pos
0.202	0.740	pos
0.366	0.790	neg
-0.137	0.767	pos
0.080	0.399	pos
0.486	0.441	neg
0.165	0.483	pos
-0.305	0.112	neg
0.085	0.566	pos
-0.378	0.439	neg
0.040	0.347	pos
-0.494	0.423	neg
-0.290	0.655	neg
0.190	0.575	pos
0.363	0.420	neg
-0.416	0.335	neg
0.313	0.319	neg
-0.226	0.496	neg
-0.193	0.816	pos
0.458	0.755	neg
-0.275	0.510	neg
0.060	0.668	pos
-0.166	0.802	pos
0.337	0.895	neg
0.367	0.239	neg
0.015	0.818	pos
-0.289	0.609	neg
0.395	0.969	neg
0.166	0.449	pos
0.406	0.056	neg
-0.336	0.701	neg
0.205	0.797	pos
0.282	0.255	neg
-0.196	0.237	neg
-0.236	0.612	pos
0.146	0.255	pos
0.300	0.518	neg
0.247	0.212	neg
-0.116	0.301	pos
0.060	0.573	pos
-0.026	0.583	pos
-0.304	0.404	neg
0.274	0.065	neg
0.282	0.860	pos
0.425	0.871	neg
0.430	0.422	neg
-0.094	0.090	pos
0.074	0.110	pos
-0.075	0.437	pos
0.353	0.782	neg
0.022	0.872	pos
-0.011	0.472	pos
-0.061	0.812	pos
0.243	0.061	neg
-0.260	0.993	pos
0.389	0.509	neg
-0.293	0.008	neg
0.137	0.839	pos
-0.091	0.469	pos
-0.194	0.814	pos
0.308	0.823	neg
0.316	0.767	neg
0.178	0.765	pos
0.072	0.721	pos
-0.133	0.075	neg
-0.494	0.129	neg
0.115	0.239	pos
0.299	0.448	neg
-0.461	0.246	neg
-0.181	0.485	pos
-0.017	0.232	pos
0.180	0.129	neg
-0.241	0.949	pos
-0.289	0.164	neg
-0.083	0.891	pos
0.307	0.757	neg
-0.345	0.465	neg
0.421	0.607	neg
0.196	0.873	pos
0.317	0.398	neg
-0.218	0.662	pos
0.438	0.992	neg
0.139	0.378	pos
-0.069	0.433	pos
0.060	0.342	pos
-0.403	0.888	neg
-0.493	0.220	neg
-0.315	0.477	neg
-0.101	0.869	pos
0.183	0.664	pos
0.318	0.676	neg
-0.262	0.270	neg
-0.408	0.140	neg
-0.476	0.149	neg
0.489	0.169	neg
0.466	0.027	neg
-0.189	0.671	pos
-0.052	0.256	pos
0.035	0.855	pos
0.226	0.089	neg
0.374	0.276	neg
0.065	0.137	pos
0.075	0.930	pos
0.376	0.754	neg
-0.281	0.861	pos
-0.242	0.315	neg
-0.230	0.871	pos
-0.281	0.120	neg
-0.023	0.477	pos
0.096	0.532	pos
0.222	0.704	pos
0.082	0.666	pos
-0.494	0.734	neg
-0.180	0.955	pos
0.196	0.604	pos
-0.338	0.667	neg
0.494	0.551	neg
0.320	0.636	neg
-0.487	0.670	neg
0.203	0.780	pos
0.087	0.849	pos
-0.456	0.565	neg
-0.146	0.639	pos
-0.118	0.086	neg
0.347	0.329	neg
0.275	0.254	neg
0.423	0.760	neg
-0.157	0.970	pos
0.424	0.928	neg
-0.390	0.232	neg
0.296	0.420	neg
-0.495	0.623	neg
-0.307	0.282	neg
0.114	0.878	pos
-0.114	0.438	pos
0.262	0.976	pos
0.440	0.756	neg
-0.209	0.124	neg
0.206	0.468	pos
0.238	0.621	pos
-0.498	0.953	neg
0.263	0.847	pos
-0.365	0.065	neg
0.102	0.578	pos
0.221	0.419	neg
-0.104	0.587	pos
-0.073	0.280	pos
0.050	0.608	pos
-0.148	0.243	pos
-0.122	0.444	pos
-0.110	0.416	pos
0.458	0.324	neg
0.279	0.509	neg
-0.336	0.257	neg
-0.152	0.759	pos
-0.328	0.806	neg
-0.355	0.414	neg
-0.037	0.5	pos
-0.18	0.102	neg
-0.115	0.679	pos
-0.267	0.538	neg
0.198	0.019	neg
-0.169	0.586	pos
0.181	0.841	pos
-0.073	0.361	pos
0.461	0.748	neg
-0.024	0.173	pos
0.187	0.538	pos
-0.158	0.695	pos
0.217	0.832	pos
0.44	0.605	neg
0.344	0.239	neg
0.428	0.541	neg
0.115	0.545	pos
-0.261	0.295	neg
-0.212	0.158	neg
0.19	0.754	pos
0.365	0.622	neg
0.161	0.612	pos
0.048	0.72	pos
-0.056	0.963	pos
0.08	0.071	pos
-0.213	0.867	pos
-0.026	0.3	pos
0.281	0.939	pos
-0.235	0.856	pos
0.358	0.178	neg
0.209	0.804	pos
0.217	0.36	neg
0.137	0.852	pos
0.173	0.833	pos
0.382	0.096	neg
0.069	0.284	pos
-0.361	0.871	neg
-0.215	0.644	pos
-0.322	0.549	neg
0.189	0.159	neg
0.355	0.702	neg
-0.074	0.357	pos
-0.144	0.862	pos
0.115	0.917	pos
-0.493	0.588	neg
-0.493	0.208	neg
0.24	0.593	pos
0.412	0.943	neg
0.284	0.019	neg
0.324	0.615	neg
-0.458	0.279	neg
0.22	0.626	pos
-0.012	0.945	pos
-0.495	0.124	neg
-0.438	0.612	neg
0.368	0.608	neg
-0.278	0.651	neg
-0.021	0.103	pos
0.1	0.021	neg
0.121	0.04	neg
-0.085	0.85	pos
0.461	0.17	neg
0.073	0.693	pos
-0.354	0.407	neg
0.377	0.856	neg
-0.22	0.998	pos
-0.258	0.883	pos
-0.49	0.864	neg
-0.202	0.873	pos
0.098	0.429	pos
-0.495	0.356	neg
-0.123	0.627	pos
0.268	0.825	pos
0.221	0.44	neg
-0.394	0.981	neg
0.081	0.402	pos
-0.121	0.273	pos
